ENSG00000252365	ENSXETG00000029272	ENSDARG00000083784
ENSG00000238522	ENSXETG00000029849	ENSDARG00000081307
ENSG00000238522	ENSXETG00000029658	ENSDARG00000081307
ENSG00000207051	ENSXETG00000029805	ENSDARG00000084628
ENSG00000201847	ENSXETG00000028289	ENSDARG00000082087
ENSG00000201847	ENSXETG00000028289	ENSDARG00000082440
ENSG00000201847	ENSXETG00000028289	ENSDARG00000080531
ENSG00000212293	ENSXETG00000029896	ENSDARG00000081931
ENSG00000212293	ENSXETG00000029581	ENSDARG00000081931
ENSG00000188403	ENSXETG00000004842	ENSDARG00000096424
ENSG00000252397	ENSXETG00000028628	ENSDARG00000085332
ENSG00000252397	ENSXETG00000029817	ENSDARG00000085332
ENSG00000215405	ENSXETG00000012915	ENSDARG00000063197
ENSG00000169861	ENSXETG00000004842	ENSDARG00000096326
ENSG00000230031	ENSXETG00000021831	ENSDARG00000013015
ENSG00000138593	ENSXETG00000008783	ENSDARG00000078687
ENSG00000233917	ENSXETG00000021831	ENSDARG00000013015
ENSG00000166157	ENSXETG00000020701	ENSDARG00000056985
ENSG00000166351	ENSXETG00000021831	ENSDARG00000013015
ENSG00000168675	ENSXETG00000019659	ENSDARG00000054941
ENSG00000168675	ENSXETG00000019659	ENSDARG00000070555
ENSG00000188992	ENSXETG00000005849	ENSDARG00000005332
ENSG00000188992	ENSXETG00000005849	ENSDARG00000007108
ENSG00000199477	ENSXETG00000029908	ENSDARG00000085301
ENSG00000185272	ENSXETG00000005847	ENSDARG00000090202
ENSG00000270505	ENSXETG00000004842	ENSDARG00000096353
ENSG00000155304	ENSXETG00000005851	ENSDARG00000040984
ENSG00000197414	ENSXETG00000012915	ENSDARG00000063197
ENSG00000238483	ENSXETG00000029849	ENSDARG00000081307
ENSG00000238483	ENSXETG00000029658	ENSDARG00000081307
ENSG00000166200	ENSXETG00000008784	ENSDARG00000004785
ENSG00000155307	ENSXETG00000023126	ENSDARG00000054543
ENSG00000155307	ENSXETG00000023126	ENSDARG00000078647
ENSG00000153575	ENSXETG00000004137	ENSDARG00000077442
ENSG00000180530	ENSXETG00000023130	ENSDARG00000068965
ENSG00000180530	ENSXETG00000023130	ENSDARG00000068894
ENSG00000137824	ENSXETG00000021550	ENSDARG00000041407
ENSG00000238376	ENSXETG00000029849	ENSDARG00000081307
ENSG00000238376	ENSXETG00000029658	ENSDARG00000081307
ENSG00000208006	ENSXETG00000029188	ENSDARG00000081252
ENSG00000208006	ENSXETG00000029188	ENSDARG00000080783
ENSG00000234883	ENSXETG00000029127	ENSDARG00000081781
ENSG00000137880	ENSXETG00000021554	ENSDARG00000012187
ENSG00000104129	ENSXETG00000021559	ENSDARG00000026561
ENSG00000177150	ENSXETG00000014708	ENSDARG00000040186
ENSG00000177150	ENSXETG00000014708	ENSDARG00000035985
ENSG00000155313	ENSXETG00000023135	ENSDARG00000012314
ENSG00000101638	ENSXETG00000033509	ENSDARG00000036584
ENSG00000154639	ENSXETG00000005780	ENSDARG00000043658
ENSG00000101654	ENSXETG00000014707	ENSDARG00000070553
ENSG00000078043	ENSXETG00000021519	ENSDARG00000092979
ENSG00000156958	ENSXETG00000008785	ENSDARG00000004059
ENSG00000154640	ENSXETG00000005781	ENSDARG00000069065
ENSG00000140416	ENSXETG00000009718	ENSDARG00000087402
ENSG00000154642	ENSXETG00000002049	ENSDARG00000030803
ENSG00000140577	ENSXETG00000001294	ENSDARG00000052114
ENSG00000207797	ENSXETG00000029126	ENSDARG00000082677
ENSG00000207797	ENSXETG00000029126	ENSDARG00000082916
ENSG00000166140	ENSXETG00000021564	ENSDARG00000003642
ENSG00000101138	ENSXETG00000012030	ENSDARG00000044820
ENSG00000154645	ENSXETG00000002052	ENSDARG00000034528
ENSG00000068793	ENSXETG00000004138	ENSDARG00000044345
ENSG00000199633	ENSXETG00000028251	ENSDARG00000082928
ENSG00000199633	ENSXETG00000028251	ENSDARG00000082423
ENSG00000199633	ENSXETG00000028251	ENSDARG00000081702
ENSG00000199633	ENSXETG00000028251	ENSDARG00000080690
ENSG00000199633	ENSXETG00000028251	ENSDARG00000083378
ENSG00000199633	ENSXETG00000028593	ENSDARG00000082928
ENSG00000199633	ENSXETG00000028593	ENSDARG00000082423
ENSG00000199633	ENSXETG00000028593	ENSDARG00000081702
ENSG00000199633	ENSXETG00000028593	ENSDARG00000080690
ENSG00000199633	ENSXETG00000028593	ENSDARG00000083378
ENSG00000101365	ENSXETG00000014969	ENSDARG00000044753
ENSG00000167216	ENSXETG00000033325	ENSDARG00000012275
ENSG00000087589	ENSXETG00000012029	ENSDARG00000006775
ENSG00000154654	ENSXETG00000007054	ENSDARG00000017466
ENSG00000154654	ENSXETG00000007054	ENSDARG00000055669
ENSG00000238455	ENSXETG00000029849	ENSDARG00000081307
ENSG00000238455	ENSXETG00000029658	ENSDARG00000081307
ENSG00000166143	ENSXETG00000034331	ENSDARG00000017710
ENSG00000207695	ENSXETG00000029097	ENSDARG00000081763
ENSG00000207695	ENSXETG00000029097	ENSDARG00000083498
ENSG00000176136	ENSXETG00000027297	ENSDARG00000031348
ENSG00000176136	ENSXETG00000027297	ENSDARG00000054946
ENSG00000103642	ENSXETG00000009720	ENSDARG00000040803
ENSG00000197299	ENSXETG00000007847	ENSDARG00000077089
ENSG00000199017	ENSXETG00000028982	ENSDARG00000088322
ENSG00000199017	ENSXETG00000028986	ENSDARG00000088322
ENSG00000207764	ENSXETG00000028988	ENSDARG00000081687
ENSG00000154719	ENSXETG00000005956	ENSDARG00000041570
ENSG00000101160	ENSXETG00000024184	ENSDARG00000043081
ENSG00000022277	ENSXETG00000012028	ENSDARG00000040607
ENSG00000166145	ENSXETG00000021555	ENSDARG00000023673
ENSG00000166145	ENSXETG00000021555	ENSDARG00000012467
ENSG00000207598	ENSXETG00000028969	ENSDARG00000081311
ENSG00000088881	ENSXETG00000031092	ENSDARG00000091287
ENSG00000101162	ENSXETG00000024186	ENSDARG00000053066
ENSG00000269900	ENSXETG00000029446	ENSDARG00000083337
ENSG00000140285	ENSXETG00000008786	ENSDARG00000059387
ENSG00000183206	ENSXETG00000021831	ENSDARG00000013015
ENSG00000266996	ENSXETG00000001176	ENSDARG00000011637
ENSG00000154721	ENSXETG00000013609	ENSDARG00000079071
ENSG00000154721	ENSXETG00000013609	ENSDARG00000058996
ENSG00000234298	ENSXETG00000001176	ENSDARG00000011637
ENSG00000185088	ENSXETG00000024836	ENSDARG00000090186
ENSG00000183791	ENSXETG00000001176	ENSDARG00000011637
ENSG00000206181	ENSXETG00000001176	ENSDARG00000011637
ENSG00000170122	ENSXETG00000001667	ENSDARG00000042485
ENSG00000166128	ENSXETG00000009721	ENSDARG00000068628
